Country,Year,PSS,GES,GDPpc,Educ,U,POP,GCF
ISL,2019,18.691,7.60675001144409,59650.82723321448,40.948925,3.51,0.360558,20.673640857409456
ISL,2020,23.013,8.61443996429443,54335.8705317404,40.643898,5.48,0.366462,21.389865179022813
ISL,2021,22.312,7.73067569732666,58293.97814655035,43.06255,6.02,0.372523,22.447803480123106
IRL,2002,14.858,4.10487985610962,35222.02872435204,24.814322,4.22,3.917203,24.0825971908065
IRL,2003,15.422,4.20493984222412,36284.92797691818,26.308289,4.48,3.979853,25.744223047985358
IRL,2004,15.741,4.48296022415161,38733.58416974307,27.820133,4.49,4.045188,27.218263366791916
IRL,2005,15.834,4.51898002624512,40466.23435157114,29.074234,4.34,4.133839,30.309749586283317
IRL,2006,15.841,4.54742002487183,44229.524581343365,31.095585,4.41,4.232929,31.893205292949844
IRL,2007,16.746,4.71541023254395,46779.396347306385,32.39011,4.98,4.375842,29.248105575966754
IRL,2008,19.955,5.45828008651733,44169.0943411644,33.902611,6.77,4.48507,24.667093752986624
IRL,2009,23.853,6.15610980987549,41471.494102497825,35.822323,12.61,4.533395,20.303668753851653
IRL,2010,24.134,4.77,43208.24452799258,37.584061,14.53,4.554763,17.277273525782334
IRL,2011,23.294,4.76,45116.98840787815,38.162312,15.35,4.574888,17.23318236699284
IRL,2012,23.048,4.41,46283.72896610626,39.69788,15.45,4.593697,20.01088697950125
IRL,2013,21.812,3.93,47797.14967277065,41.47068,13.73,4.614669,18.70714376897597
IRL,2014,20.092,4.34,51238.80032900935,40.967049,11.86,4.64544,22.38498120293482
IRL,2015,15.196,3.98,69214.42199915677,42.806118,9.91,4.687787,25.909222346083233
IRL,2016,15.13,4.3,71410.36927055019,45.104263,8.37,4.739597,37.439663695787154
IRL,2017,14.181,3.8,78168.96773753937,45.65897,6.71,4.79249,34.653044244457234
IRL,2018,13.519,3.38675999641418,84918.3383814459,46.935135,5.74,4.857015,28.67577763525455
IRL,2019,12.868,3.31,89628.83580756334,47.306835,4.95,4.921496,54.77469884684809
IRL,2020,15.694,3.27185988426208,94550.66625087624,49.943962,5.62,4.977443,43.059553782712676
IRL,2021,14.178,2.98458051681519,108516.98758315798,53.708744,6.19,5.01146,23.610618653122422
LUX,2002,21.481,4.61169099807739,58575.67927175441,38.697,2.62,0.446166,20.427862931545498
LUX,2003,22.756,4.86869335174561,60199.5387727809,38.697,3.68,0.451626,21.309558247484766
LUX,2004,22.821,4.90479755401611,64692.93712400202,38.697,5.11,0.458098,21.305319622594133
LUX,2005,22.587,4.85462236404419,68787.8547494266,26.549366,4.49,0.465152,21.510257294792183
LUX,2006,21.111,4.42274475097656,78873.38130563777,23.993208,4.73,0.472641,19.003875488678947
LUX,2007,19.895,4.27168464660645,85120.68791945734,26.512686,4.07,0.479992,19.513325349146136
LUX,2008,20.813,4.32691144943237,90970.72119801471,27.653927,5.06,0.488647,20.57963948065511
LUX,2009,22.535,4.86713409423828,86876.71964292895,34.795971,5.12,0.497783,16.18290079653542
LUX,2010,21.727,5.01190233230591,90357.09751879511,35.475895,4.36,0.506953,18.08319349362417
LUX,2011,20.596,4.98958110809326,94475.03022650235,37.034779,4.9,0.518351,19.268797706388753
LUX,2012,20.726,3.87815999984741,96636.426643956,39.110382,5.14,0.530952,18.7523048822473
LUX,2013,20.889,3.69939088821411,100925.01199224053,40.673241,5.85,0.543358,18.145372691423674
LUX,2014,20.815,3.85569000244141,105296.28458823191,45.935593,5.85,0.556322,19.09358675957335
LUX,2015,20.543,3.76792001724243,107859.68599930758,39.794865,6.67,0.569605,18.9584857711264
LUX,2016,20.251,3.40244603157043,113365.17608226545,42.856003,6.29,0.583459,17.93191326198936
LUX,2017,20.687,3.48645997047424,114985.8422359888,40.325737,5.52,0.596337,18.889717550224187
LUX,2018,21.02,3.66211009025574,116498.51208091943,43.886856,5.59,0.60795,17.04468828980091
LUX,2019,21.617,3.73954010009766,119652.80495012797,51.642971,5.59,0.620003,18.69294439352911
LUX,2020,23.92,3.83822989463806,119534.62091598846,51.312302,6.77,0.630413,17.345323736881817
LUX,2021,21.595,4.63915252685547,131630.77435830812,50.304401,5.25,0.640064,18.83957985021184
NLD,2002,19.863,4.80590009689331,34447.20531806451,25.02088,2.55,16.148921,21.008626383603684
NLD,2003,20.54,5.0404200553894,34151.35354429706,27.545015,3.59,16.225303,20.48809500594762
NLD,2004,20.386,5.06297016143799,35809.982900896546,29.537558,4.65,16.281777,20.321338557981885
NLD,2005,19.913,5.10939979553223,37625.56170849576,30.11544,5.87,16.319871,20.454071009633626
NLD,2006,16.428,5.04402017593384,41011.1526382863,30.189871,5,16.346096,21.02366622986044
NLD,2007,15.737,4.88682985305786,43944.71378201902,30.803967,4.15,16.381696,23.34948398662726
NLD,2008,15.474,5.02904987335205,46420.2016795592,32.167362,3.65,16.44559,22.330878649192364
NLD,2009,17.072,5.43156003952026,44557.39385794519,32.785397,4.35,16.530387,20.721238329049584
NLD,2010,17.463,5.48908996582031,45041.58371457579,32.389164,4.99,16.61539,20.22162528336778
NLD,2011,17.537,5.46303987503052,46599.021030449956,32.041344,4.98,16.693074,20.03970114967272
NLD,2012,17.923,5.4102201461792,47272.103018797156,34.398335,5.82,16.754963,18.72471154700245
NLD,2013,18.132,5.52655982971191,49241.517840630506,34.523254,7.24,16.80443,18.51004522584914
NLD,2014,17.929,5.458899974823,49233.215395440115,35.290047,7.42,16.865008,17.9126213592233
NLD,2015,17.596,5.34815979003906,50288.591394937655,36.441593,6.87,16.939925,22.47495681209493
NLD,2016,17.468,5.47959995269775,52288.4150841353,37.127563,6.01,17.030314,20.487564534960054
NLD,2017,16.649,5.17509984970093,55088.63380067443,38.296494,4.84,17.131295,20.592674078027922
NLD,2018,16.318,5.35764980316162,57826.62849766747,39.796738,3.83,17.231622,20.95758714293651
NLD,2019,16.321,5.15986013412476,60208.422170423626,40.813927,3.38,17.344876,22.09641414172473
NLD,2020,18.921,5.42381000518799,59822.95426763798,42.05917,3.82,17.4415,21.75649379182203
NLD,2021,18.671,5.13583135604858,64488.82069438377,43.059402,4.21,17.533048,21.532598120578413
NOR,2002,22.71,7.42246007919312,38056.24042781063,39.828,4.02,4.538157,20.330212352435357
NOR,2003,23.644,7.39933013916016,38684.524608753265,39.828,4.22,4.564856,19.428481708274454
NOR,2004,22.283,7.27744007110596,42671.96488959024,39.828,4.26,4.591909,21.5094822895293
NOR,2005,20.737,6.84082984924316,47966.8640112608,32.692787,4.38,4.623293,22.42231866510235
NOR,2006,19.479,6.35822010040283,54366.00639023273,32.926327,3.4,4.660673,23.929297473876012
NOR,2007,19.603,6.50671005249023,56175.656091892,34.198307,2.49,4.709156,27.074741099596896
NOR,2008,19.28,6.24915981292725,62072.75398549091,36.004189,2.55,4.768215,25.78314999037044
NOR,2009,22.519,7.07067012786865,55620.837981171506,36.698498,3.1,4.828716,24.295695557508427
NOR,2010,22.119,6.71042013168335,58226.71391529671,37.284328,3.52,4.889253,24.98868674508732
NOR,2011,21.578,6.41490983963013,62460.09081570024,38.053513,3.21,4.953089,25.44598101944925
NOR,2012,21.469,7.32766008377075,65774.35207462238,38.561893,3.12,5.018574,25.872034359095725
NOR,2013,21.918,7.43906021118164,67377.92622587722,39.770252,3.42,5.080171,27.327619821152076
NOR,2014,22.839,7.64403009414673,66332.46143741976,41.757915,3.48,5.137427,27.209992105702618
NOR,2015,24.681,7.52334976196289,60737.8868132779,42.706734,4.3,5.189898,26.91884148626454
NOR,2016,25.934,7.98444986343384,59280.19920288285,43.016758,4.68,5.236152,27.726421558166063
NOR,2017,25.129,7.84598016738892,64589.5559196863,43.207031,4.16,5.276965,27.552832397912436
NOR,2018,24.21,7.59563016891479,70253.84636933841,43.575832,3.8,5.311916,27.726843038085814
NOR,2019,25.278,7.8645601272583,69916.37683231097,44.129421,3.69,5.347893,29.611444403947022
NOR,2020,28.159,8.3728199005127,65130.17218716082,45.273285,4.42,5.379472,31.352115727667318
NOR,2021,24.362,5.04169225692749,81866.7951850507,47.220146,4.37,5.40832,25.597181132200912
CHE,2002,15.345,5.17881011962891,38704.958459724236,25.385767,2.92,7.284754,26.21494021838166
